Scrappername,BVC,TICKER,COURS AU 31/12/2022,soge,NofS
AFMA P,AFMA,AFM,1300,AFMA,1000000	
Afric Indus.,AFRIC INDUSTRIES SA,AFI,339,Afric Industries,291500	
Afriquia Gaz P,AFRIQUIA GAZ,GAZ,4650,Afriquia Gaz,3437500	
Agma P,AGMA,AGM,6070,AGMA,200000	
Akdital Br,AKDITAL,AKT,302,Akdital,12666670	
Alliances P,ALLIANCES,ADI,52,Alliances,22078588	
Aluminium Maroc P,ALUMINIUM DU MAROC,ALM,1418,Aluminium Du Maroc,465954
Aradei Capital Br,ARADEI CAPITAL,ARD,405,ARADEI CAPITAL,11213964	
ATLANTASANAD P,ATLANTASANAD,ATL,125,AtlantaSanad,60283595	
Attijariwafa Bk Rg,ATTIJARIWAFA BANK,ATW,392,Attijariwafa Bank,215140839
Auto Hall P,AUTO HALL,ATH,65,Auto Hall,50294528
Auto Nejma P,AUTO NEJMA,NEJ,1817,Auto Nejma,1023264	
BALIMA P,BALIMA,BAL,165,Balima,1744000	
BoA Br,BANK OF AFRICA,BOA,172,Bank Of Africa,208769827
BCP P,BCP,BCP,231,BCP,203312473	
BMCI P,BMCI,BCI,354.4,BMCI,13279286	
Cartier Saada P,CARTIER SAADA,CRS,26.5,Cartier Saada,5265000
CDM P,CDM,CDM,600,Cr̩dit Du Maroc,10881214
CIH P,CIH,CIH,304,CIH Bank,30519784
Ciments Maroc,CIMENTS DU MAROC,CMA,1280,Ciments Du Maroc,14436004
Colorado P,COLORADO,COL,45.5,Colorado,16117611
COSUMAR,COSUMAR,CSR,190,Cosumar,94487143
CTM P,CTM,CTM,676.2,CTM,1225978
Dari Couspate,DARI COUSPATE,DAR,3955,Dari Couspate,298375
Delattre Lev. P,DELATTRE LEVIVIER MAROC,DLM,42.9,Delattre Levivier Maroc,1750000
Delta Holding P,DELTA HOLDING,DHO,24,Delta Holding,87600000
Disty Technolog Br,DISTY TECHNOLOGIES,DYT,210,Disty Technologies,998110
DISWAY P,DISWAY,DWY,670,Disway,1885762
Addoha P,DOUJA PROM ADDOHA,ADH,6.28,Addoha,402551254
Ennakl N,ENNAKL,NKL,31.38,Ennakl,30000000
EQDOM P,EQDOM,EQD,850,Eqdom,1670250
FENIE BROSSETTE P,FENIE BROSSETTE,FBR,124.9,Fenie Brossette,1438984
HPS P,HPS,HPS,6500,HPS,703599
IBMaroc.com P,IB MAROC.COM,IBC,30.97,IB Maroc,417486
Immr Invest Br,IMMORENTE INVEST,IMO,96.3,Immorente Invest,9007000
INVOLYS P,INVOLYS,INV,103.95,Involys,382716
Maroc Telecom,ITISSALAT AL-MAGHRIB,IAM,95,Maroc Telecom,879095340
Jet Contractors P,JET CONTRACTORS,JET,206,Jet Contractors,3029522
LABEL VIE P,LABEL VIE,LBV,4650,Label Vie,2893957
LafargeHolcim Ma Br,LAFARGEHOLCIM MAR,LHM,1350,LafargeHolcim Maroc,23431240
Lesieur Cristal,LESIEUR CRISTAL,LES,230,Lesieur Cristal,27631510	
M2M Group P,M2M Group,M2M,789,M2M Group,647777
Maghreb Oxygene P,MAGHREB OXYGENE,MOX,244.75,Maghreb Oxyg̬ne,812500
Maghrebail P,MAGHREBAIL,MAB,899,Maghrebail,1384182
Managem P,MANAGEM,MNG,2530,Managem,9991308
Maroc Leasing N,MAROC LEASING,MLE,353,Maroc Leasing,2776768
Med Paper P,MED PAPER,MDP,27.25,Med Paper,4783823
Microdata N,MICRODATA,MIC,541.8,Microdata,1680000
CMT,MINIERE TOUISSIT,CMT,1680,CMT,1681233
Mutandis Br,MUTANDIS SCA,MUT,218,MUTANDIS SCA,9246737
Oulmes P,OULMES,OUL,1554,Oulm̬s,1980000
PROMOPHARM,PROMOPHARM S.A.,PRO,1068,Promopharm,1000000
SRM P,REALISATIONS MECANIQUES,SRM,150,SRM,320000
Rebab Company P,REBAB COMPANY,REB,113.5,Rebab Company,176456
Res.Dar Saada Br,RES DAR SAADA,RDS,18,Dar Saada,26208850
Risma P,RISMA,RIS,114,Risma,14326947
S2M P,S.M MONETIQUE,S2M,202.95,S2M,812070
SALAFIN P,SALAFIN,SLF,570,Salafin,3124119
Sanlam Maroc N,SANLAM MAROC,SAH,990,Sanlam,4116874
SMI P,SMI,SMI,1520,SMI,1645090
SNEP P,SNEP,SNP,620,SNEP,2400000
Ste Boissons P,SOCIETE DES BOISSONS DU MAROC,SBM,2398,St̩ Boissons du Maroc,2829653
SODEP P,SODEP-Marsa Maroc,MSA,216,Marsa Maroc,73395600
Sonasid P,SONASID,SID,520,Sonasid,3900000
SOTHEMA Br,SOTHEMA,SOT,1320,Sothema,7200000
Stokvis Nord Afr.,STOKVIS NORD AFRIQUE,SNA,15.71,Stokvis Nord Afrique,9195150
STROC Indus. P,STROC INDUSTRIE,STR,39.72,Stroc Industrie,1248515
TAQA Morocco P,TAQA MOROCCO,TQM,1098,Taqa Morocco,23588542
TGCC Br,TGCC S.A,TGC,125,TGCC S.A.,31639850
Timar P,TIMAR,TIM,180,Timar,301100
TotalEnergie MM P,TOTALENERGIES MARKETING MAROC,TMA,1298,Total Maroc,8960000
Unimer P,UNIMER,UMR,157.95,Unimer,11413880
Wafa Assur P,WAFA ASSURANCE,WAA,3760,Wafa Assurance,3500000
Zellidja P,ZELLIDJA S.A,ZDJ,72.75,Zellidja,572849
